ISO3,Year,Country,INFORM_Mean,INFORM_Change,FTS_Requirements,FTS_Funding,FTS_Percent_Funded,FTS_Funding_Gap,Score_Coverage,Score_Efficiency,Score_Outcome,Score_Gap,Effectiveness_Score,Effectiveness_Category,Is_Good_Crisis
ECU,2024.0,Ecuador,2.6583333333333337,0.1,288779587.0,112217012.0,38.85905273491509,176562575.0,38.85905273491509,0.0,45.0,38.85905273491509,30.3724790042033,Needs Improvement,False
ECU,2025.0,Ecuador,3.463636363636364,0.0,229690772.0,30368800.0,13.221602128621868,199321972.0,13.221602128621868,0.0,50.0,13.221602128621868,17.271881170742027,Critical - Underfunded,False
EGY,2020.0,Egypt,2.3,0.1999999999999997,169085255.0,92624128.0,54.7795418352712,76461127.0,54.7795418352712,0.0,40.000000000000014,54.7795418352712,38.12874800939916,Needs Improvement,False
EGY,2021.0,Egypt,2.6083333333333334,-0.6000000000000001,127315564.0,101469267.0,79.69902799943611,25846297.0,79.69902799943611,0.0,80.0,79.69902799943611,59.83446539968986,Moderately Effective,True
EGY,2022.0,Egypt,2.1416666666666666,-0.7,130191927.0,171453047.0,131.6925334394966,-41261120.0,100.0,0.0,85.0,100.0,72.0,Highly Effective,True
EGY,2023.0,Egypt,1.9363636363636365,0.4999999999999998,280129086.0,130435308.0,46.56257222786212,149693778.0,46.56257222786212,0.0,25.00000000000001,46.56257222786212,30.60941472532417,Needs Improvement,False
EGY,2024.0,Egypt,2.25,-0.0999999999999996,259234188.0,168950936.0,65.17309206145295,90283252.0,65.17309206145295,0.0,54.99999999999998,65.17309206145293,46.84520063379911,Moderately Effective,True
EGY,2025.0,Egypt,2.2,0.0,289273038.0,113359764.0,39.1878084399971,175913274.0,39.1878084399971,0.0,50.0,39.1878084399971,31.553294641998406,Needs Improvement,False
ERI,2020.0,Eritrea,3.725,-0.0999999999999996,0.0,13802903.0,0.0,-13802903.0,0.0,0.0,54.99999999999998,100.0,30.999999999999996,Needs Improvement,False
ERI,2021.0,Eritrea,3.75,0.0999999999999996,0.0,10048531.0,0.0,-10048531.0,0.0,0.0,45.00000000000002,100.0,29.000000000000007,Critical - Underfunded,False
ERI,2022.0,Eritrea,3.65,-0.2999999999999998,0.0,8948877.0,0.0,-8948877.0,0.0,0.0,64.99999999999999,100.0,33.0,Needs Improvement,False
ERI,2023.0,Eritrea,3.527272727272727,0.1,0.0,10884394.0,0.0,-10884394.0,0.0,0.0,45.0,100.0,29.0,Critical - Underfunded,False
ERI,2024.0,Eritrea,3.3000000000000003,-0.6000000000000001,0.0,8160669.0,0.0,-8160669.0,0.0,0.0,80.0,100.0,36.0,Needs Improvement,False
ERI,2025.0,Eritrea,2.9916666666666667,0.0,0.0,4361365.0,0.0,-4361365.0,0.0,0.0,50.0,100.0,30.0,Needs Improvement,False
ESP,2020.0,Spain,1.2,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
ESP,2021.0,Spain,1.6666666666666667,0.3,,,,,0.0,0.0,35.0,100.0,32.5,Needs Improvement,False
ESP,2022.0,Spain,1.7583333333333335,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
ESP,2023.0,Spain,1.8090909090909089,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
ESP,2024.0,Spain,1.85,-0.1,,,,,0.0,0.0,55.0,100.0,42.5,Needs Improvement,False
ESP,2025.0,Spain,1.5416666666666667,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
EST,2023.0,Estonia,1.3,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
EST,2024.0,Estonia,1.2083333333333333,-0.1,,,,,0.0,0.0,55.0,100.0,42.5,Needs Improvement,False
EST,2025.0,Estonia,1.2,0.0,,,,,0.0,0.0,50.0,100.0,40.0,Needs Improvement,False
ETH,2020.0,Ethiopia,4.05,0.0999999999999996,1250804122.0,1017205508.0,81.32412502554897,233598614.0,81.32412502554897,0.0,45.00000000000002,81.32412502554897,53.72826876405193,Moderately Effective,True
ETH,2021.0,Ethiopia,4.591666666666666,0.7000000000000002,2748655139.0,1697580810.0,61.76041460834567,1051074329.0,61.76041460834567,0.0,14.999999999999993,61.76041460834567,36.96822803459012,Needs Improvement,False
ETH,2022.0,Ethiopia,4.475,-0.7000000000000002,3622804854.0,2297293226.0,63.412005851309374,1325511628.0,63.412005851309374,0.0,85.0,63.412005851309374,51.876603218220154,Moderately Effective,True
ETH,2023.0,Ethiopia,4.190909090909091,-0.2000000000000001,4437537705.0,1713993461.0,38.62487656316151,2723544244.0,38.62487656316151,0.0,60.00000000000001,38.6248765631615,33.24368210973883,Needs Improvement,False
ETH,2024.0,Ethiopia,4.25,0.2000000000000001,3691808610.0,1250279058.0,33.86630213205987,2441529552.0,33.86630213205987,75.58361093457206,39.99999999999999,33.86630213205987,45.52236890627594,Moderately Effective,True
